stage,metric,value
Step1,Latest cases after dedup/delete,19961057.0
Step2,case_drug rows,72212791.0
Step2,case_reaction rows,59395334.0
Step3,unique drug terms,702719.0
Step3,terms mapped to InChI,183162.0
Step3,drug rows mapped to InChI,53858885.0
Step4,unique InChIKey (structure components),4523.0
Step4,InChIKey count in PS/SS cases,3758.0
Step4,InChIKey-PT pairs (PS/SS; pre-MedDRA),2788221.0
Step4,model pairs n_cases>=20 (pre-MedDRA),398908.0
Step5,reaction rows mapped to MedDRA PT,59395333.0
Step5,distinct MedDRA PT mapped,22643.0
Step5,InChIKey-PT pairs (PS/SS; MedDRA PT),2692460.0
Step5,model pairs n_cases>=20 (MedDRA PT),394254.0
Step5,model drugs n_cases>=20 (InChIKey index),1748.0
Step5,model reactions n_cases>=20 (PT index),7833.0
Step6,signal universe cases,13098392.0
Step6,strong signals min10 (classic),326704.0
Step6,robust strong signals min10 (EB05+IC025),326539.0
Step6,strong signals min20 (classic),208282.0
Step6,robust strong signals min20 (EB05+IC025),208282.0
Step11B,clinical-filtered robust pairs (current),316929.0
Step11B,clinical-filtered drugs for archetype (current),2035.0
Step13,multilabel targets (current),2035.0
Step13,average true labels per compound (current),1.512039303779602
